,army_size,disease,wounds,other,month,disease_rate,wounds_rate,other_rate,total,disease_pct,wounds_pct,other_pct
0,8571,1,0,5,1,0.11667250029168125,0.0,0.5833625014584063,6,16.666666666666664,0.0,83.33333333333334
1,23333,12,0,9,2,0.5142930613294475,0.0,0.38571979599708567,21,57.14285714285714,0.0,42.857142857142854
2,28333,11,0,6,3,0.3882398616454311,0.0,0.21176719726114426,17,64.70588235294117,0.0,35.294117647058826
3,28722,359,0,23,4,12.499129587076109,0.0,0.8007798899798064,382,93.97905759162303,0.0,6.020942408376963
4,30246,828,1,30,5,27.375520730013886,0.0330622231038815,0.9918666931164452,859,96.39115250291036,0.11641443538998836,3.4924330616996504
5,30290,788,81,70,6,26.015186530207988,2.6741498844503138,2.31099372730274,939,83.91906283280085,8.626198083067091,7.454739084132056
6,30643,503,132,128,7,16.414841888849004,4.307672225304311,4.1771367033253926,763,65.92398427260812,17.300131061598954,16.775884665792923
7,29736,844,287,106,8,28.383104654291095,9.651600753295668,3.56470271724509,1237,68.22958771220695,23.20129345189976,8.56911883589329
8,32779,1725,114,131,9,52.625156350102195,3.477836419658928,3.996461148906312,1970,87.56345177664974,5.786802030456853,6.6497461928934
9,32393,2761,83,324,10,85.23446423610038,2.5622819745006638,10.002160960701387,3168,87.15277777777779,2.619949494949495,10.227272727272728
10,30919,2120,42,361,11,68.56625375982406,1.3583880461851936,11.675668682687022,2523,84.02695204122077,1.6646848989298455,14.308363059849386
11,30107,1205,32,172,12,40.02391470422161,1.0628757431826485,5.712957119606736,1409,85.52164655784244,2.2711142654364798,12.207239176721078
12,32252,477,48,57,13,14.78978047873,1.4882797966017611,1.7673322584645912,582,81.95876288659794,8.24742268041237,9.793814432989691
13,35473,508,49,37,14,14.320750993713528,1.3813322808896906,1.0430468243452766,594,85.52188552188552,8.24915824915825,6.228956228956229
14,38863,802,209,31,15,20.636595219103004,5.3778658363996605,0.797673880040141,1042,76.96737044145874,20.057581573896353,2.9750479846449136
15,42647,382,134,33,16,8.957253734143082,3.1420732994114475,0.7737941707505803,549,69.58105646630237,24.408014571949,6.0109289617486334
16,44614,483,164,25,17,10.82619805442238,3.6759761509839963,0.5603622181378043,672,71.875,24.404761904761905,3.7202380952380953
17,47751,189,276,20,18,3.958032292517434,5.779983665263555,0.4188393960335909,485,38.96907216494846,56.90721649484536,4.123711340206185
18,46852,128,53,18,19,2.732007171518825,1.1312217194570138,0.3841885084948348,199,64.321608040201,26.633165829145728,9.045226130653267
19,37853,178,33,32,20,4.702401394869628,0.8717935170263916,0.8453755316619554,243,73.25102880658436,13.580246913580247,13.168724279835391
20,43217,91,18,28,21,2.1056528680843187,0.41650276511557954,0.6478931901797904,137,66.42335766423358,13.138686131386862,20.437956204379564
21,44212,42,2,48,22,0.9499683343888536,0.045236587351850176,1.0856780964444042,92,45.65217391304348,2.1739130434782608,52.17391304347826
22,43485,24,0,19,23,0.5519144532597448,0.0,0.43693227549729796,43,55.81395348837209,0.0,44.18604651162791
23,46140,15,0,35,24,0.32509752925877766,0.0,0.7585609016038145,50,30.0,0.0,70.0
