month,cause,deaths
1,other,5
2,other,9
3,other,6
4,other,23
5,other,30
6,other,70
7,other,128
8,other,106
9,other,131
10,other,324
11,other,361
12,other,172
13,other,57
14,other,37
15,other,31
16,other,33
17,other,25
18,other,20
19,other,18
20,other,32
21,other,28
22,other,48
23,other,19
24,other,35
1,wounds,0
2,wounds,0
3,wounds,0
4,wounds,0
5,wounds,1
6,wounds,81
7,wounds,132
8,wounds,287
9,wounds,114
10,wounds,83
11,wounds,42
12,wounds,32
13,wounds,48
14,wounds,49
15,wounds,209
16,wounds,134
17,wounds,164
18,wounds,276
19,wounds,53
20,wounds,33
21,wounds,18
22,wounds,2
23,wounds,0
24,wounds,0
1,disease,1
2,disease,12
3,disease,11
4,disease,359
5,disease,828
6,disease,788
7,disease,503
8,disease,844
9,disease,1725
10,disease,2761
11,disease,2120
12,disease,1205
13,disease,477
14,disease,508
15,disease,802
16,disease,382
17,disease,483
18,disease,189
19,disease,128
20,disease,178
21,disease,91
22,disease,42
23,disease,24
24,disease,15
